Tag,Speaker,Content,AudioClip
Scene0_1,I,...,
Scene0_1,audience,医生！,
Scene0_1,audience,医生！你一定要救救她！,
Scene0_1,I,作为一名精神分析师，这是我的职责，请保持安静，耐心等待，等我重聚她的意念，自然就能醒过来了,
Scene0_1,I,那咋们治疗开始吧,
,,,
Scene1_1,I,我经常一个人，安静地躺在屋子的角落里。,1-1
Scene1_1,I,那时候我还不会说话，只会轻轻地哭。,1-1
Scene1_1,I,声音不大，也没有人注意。,1-1
Scene1_1,I,后来，弟弟出生了。,1-1
Scene1_1,I,他的哭声特别响。,1-1
Scene1_1,I,每次他一哭，门就会关上。,1-2
Scene1_1,I,我记不清门关了多少次，,1-2
Scene1_1,I,也不记得妈妈上一次走进来是什么时候。,1-3
Scene1_1,I,慢慢地，我学会了不发出声音。,1-3
Scene1_1,I,只会叹气,1-3
Scene1_1,I,可是……我也想被看见。,1-3
,,,
Scene1_2,I,他们又吵架了。,2-1
Scene1_2,I,声音比上一次还大。,2-1
Scene1_2,I,电视还在放着什么，但我听不太清，,2-1
Scene1_2,I,每次这种时候,2-2
Scene1_2,I,我会尽量不动，尽量不出声。,2-2
Scene1_2,I,我知道接下来会有什么——,2-2
Scene1_2,I,杯子砸碎，遥控器甩出去，还有门，“砰”一声。,2-2
Scene1_2,I,我已经猜得出顺序了。,2-3
Scene1_2,I,每次这种时候,2-3
Scene1_2,I,我都会捂住自己的耳朵，能听到自己的心跳。,2-3
Scene1_2,I,有时候弟弟会跑进来看我，,2-4
Scene1_2,I,他会拍拍我，说：“别怕不是你的错。”,2-4
Scene1_2,I,那一刻，好像什么都安静了一下。,2-4
,,,
Scene1_3,I,下课铃响了。,3-1
Scene1_3,I,噩梦又来了。,3-2
Scene1_3,I,他们来了，拉扯我的书包。,3-3
Scene1_3,I,周围像在窃窃私语。,3-3
Scene1_3,I,我不懂为什么。,3-4
Scene1_3,I,只知道害怕，不敢反抗。,3-4
Scene1_3,I,突然，轻快的脚步声响起。,3-4
Scene1_3,I,是她。,3-5
Scene1_3,I,她帮我捡起书本，扶我站起来。,3-5
Scene1_3,I,也许，她会成为朋友。,3-5
Scene1_3,I,世界变得安静。,3-6
Scene1_3,I,风吹过，树叶沙沙响。,3-6
